element_ID,element_interpret,element_general_type,element_thickness_type
4611,Lobe-fringe deposits,terminal deposit,partial observed
4612,Interlobe deposits/lobe-distal-fringe deposits,terminal deposit,apparent
4613,Lobe-off-axis deposits,terminal deposit,apparent
4614,Lobe-fringe deposits,terminal deposit,partial observed
4615,depositional lobe,terminal deposit,apparent
4616,depositional lobe,terminal deposit,partial observed
4617,depositional lobe,terminal deposit,partial observed
4618,depositional lobe,terminal deposit,apparent
4619,depositional lobe,terminal deposit,apparent
4620,depositional lobe,terminal deposit,apparent
4621,NA,levee,unlimited observed
4623,NA,channel,unlimited observed
4625,NA,terminal deposit,unlimited observed
10036,external levee,levee,true (maximum)
10122,channel,channel,true (maximum)
10123,channel,channel,true (maximum)
10124,channel,channel,true (maximum)
10125,channel,channel,true (maximum)
10126,channel,channel,true (maximum)
10137,channel,channel,partial eroded
10241,channel story set,channel,true (maximum)
10247,channel story,channel,artificial
10248,channel story,channel,partial eroded
10249,channel story,channel,partial eroded
10251,channel story,channel,partial eroded
10253,channel story,channel,partial eroded
10257,channel story,channel,partial eroded
10265,channel story,channel,partial eroded
10266,channel story,channel,partial eroded
10267,channel story,channel,partial eroded
10268,channel story,channel,partial eroded
10273,levee deposits,levee,artificial
10274,levee deposits,levee,artificial
10278,levee deposits,levee,artificial
10280,levee deposits,levee,artificial
10302,levee deposits,levee,artificial
10307,levee deposits,levee,artificial
10318,channel,channel,true (maximum)
10319,channel,channel,true (maximum)
11612,levee deposits,levee,true (maximum)
12203,channel,channel,partial observed
12205,channel,channel,partial observed
12208,channel,channel,partial observed
12209,channel,channel,partial eroded
12210,channel story,channel,true (maximum)
12211,channel story,channel,true (maximum)
12212,channel story,channel,partial observed
12217,channel story,channel,true (maximum)
12218,channel story,channel,true (maximum)
12219,channel story,channel,true (maximum)
12220,channel story,channel,partial observed
12291,lobe,terminal deposit,true (maximum)
12292,lobe,terminal deposit,true (not maximum)
12293,lobe,terminal deposit,partial eroded
12295,channel,channel,partial eroded
12296,channel,channel,partial observed
12303,lobe,terminal deposit,true (maximum)
12305,lobe,terminal deposit,true (not maximum)
12306,lobe,terminal deposit,true (maximum)
12307,lobe,terminal deposit,true (maximum)
12470,"intraslope distributary lobe complex (Flint et al., 2011)",terminal deposit,partial observed
12478,lobe fringe,terminal deposit,true (maximum)
12481,channel complex,channel,partial eroded
12482,channel complex,channel,partial eroded
12483,channel complex,channel,partial eroded
12484,channel complex,channel,partial eroded
12485,channel complex,channel,partial eroded
12486,channel complex,channel,true (maximum)
12487,channel,channel,partial eroded
12488,channel,channel,partial eroded
